,,,,,,,,,,,,ïΩãœíl,ç≈è¨íl,ç≈ëÂíl
0.736471871,0.882035109,0.864262054,0.799324091,0.911457762,0.815959419,0.872525017,0.912903265,0.854785542,0.901022644,0.816097768,0.819342408,0.848848912,0.736471871,0.912903265
0.792110466,0.905790981,0.730246637,0.897211006,0.860622248,0.835138736,0.791042388,0.853813635,0.785643045,0.748238484,0.910256929,0.870867315,0.831748489,0.730246637,0.910256929
0.772732025,0.675524836,0.774530026,0.827970777,0.826237026,0.815082612,0.803037047,0.891367472,0.757914214,0.779724446,0.918631051,0.863480481,0.808852668,0.675524836,0.918631051
0.803116381,0.803867286,0.762541723,0.665246615,0.791278616,0.704421529,0.745716159,0.930475718,0.750458888,0.765683456,0.795031638,0.754420591,0.772688217,0.665246615,0.930475718
0.666202968,0.805220259,0.766437687,0.774717109,0.907203499,0.845874815,0.654563797,0.827505797,0.742536676,0.692202823,0.863421547,0.775824318,0.776809275,0.654563797,0.907203499
0.785169412,0.962531756,0.816419106,0.917524332,0.958491364,0.940039761,0.863275144,0.851722509,0.88387111,0.769144571,0.877653747,0.94945166,0.881274539,0.769144571,0.962531756
0.755634,0.952487096,0.850224149,0.881655769,0.913165331,0.871611117,0.862797032,0.933741343,0.970928635,0.853594009,0.807976723,0.947721403,0.883461384,0.755634,0.970928635
0.685618701,0.912860455,0.772865905,0.789626337,0.961693403,0.93511482,0.878996525,0.889358495,0.789679231,0.775812299,0.867598162,0.848334009,0.842296528,0.685618701,0.961693403
0.691685948,0.731624139,0.739462149,0.851739935,0.827452575,0.876083701,0.797378911,0.951760645,0.869573606,0.84148477,0.954651717,0.833327834,0.830518827,0.691685948,0.954651717
0.671539034,0.820582929,0.772953734,0.801392333,0.960648597,0.840842213,0.832935042,0.936679821,0.958775479,0.864637096,0.910663135,0.936708571,0.859029832,0.671539034,0.960648597
0.674310035,0.854693177,0.700809735,0.797066215,0.870528257,0.799382942,0.740650107,0.797925239,0.669690335,0.775000173,0.862177836,0.76386774,0.775508483,0.669690335,0.870528257
0.70518613,0.893596454,0.845142776,0.783224551,0.942413549,0.822695117,0.844200261,0.844108645,0.809022551,0.872969131,0.770516055,0.900343965,0.836118265,0.70518613,0.942413549
0.775520599,0.727062205,0.781181348,0.681149137,0.778862162,0.819469288,0.733188848,0.865729083,0.804048326,0.806546939,0.838329647,0.800414792,0.784291864,0.681149137,0.865729083
0.68935438,0.784745561,0.835295583,0.762328061,0.87425449,0.908880594,0.666579003,0.809227745,0.761522375,0.701270067,0.889249458,0.867405616,0.795842744,0.666579003,0.908880594
0.871012009,0.92485907,0.803626306,0.852124225,0.898882465,0.953081451,0.761491928,0.929468757,0.929353729,0.824307014,0.961173551,0.923049842,0.886035862,0.761491928,0.961173551
0.897532202,0.946803126,0.740062346,0.805744334,0.928419769,0.811938552,0.835573104,0.919760055,0.884232185,0.902700469,0.862158555,0.862064513,0.866415768,0.740062346,0.946803126
0.839513906,0.878844557,0.83039119,0.727278483,0.822151647,0.742267334,0.864165228,0.924268818,0.820184821,0.774345213,0.836202548,0.798367572,0.821498443,0.727278483,0.924268818
0.876294827,0.940198974,0.804029783,0.832422125,0.95055691,0.943980875,0.689328875,0.883145562,0.786930609,0.717337514,0.795916884,0.87867782,0.841568397,0.689328875,0.95055691
0.841620614,0.911544287,0.850404448,0.809947994,0.902857614,0.857223879,0.686940172,0.89567565,0.769919262,0.726421807,0.770258891,0.779463656,0.816856523,0.686940172,0.911544287
0.825116049,0.875862358,0.764236838,0.737189314,0.881540735,0.728141106,0.873336201,0.939023661,0.913012072,0.842061034,0.897785626,0.949879015,0.852265334,0.728141106,0.949879015
0.845851733,0.870061074,0.769051051,0.758082697,0.863895364,0.733402802,0.713773479,0.825795754,0.768866744,0.698143025,0.853103728,0.790605596,0.790886087,0.698143025,0.870061074
0.898364717,0.925169159,0.854542723,0.805908234,0.928659805,0.865996823,0.708991943,0.922453652,0.817057666,0.737151052,0.786050841,0.917317203,0.847305318,0.708991943,0.928659805
0.818984547,0.7001111,0.768618194,0.810270895,0.770658127,0.660191784,0.865283042,0.913959752,0.875759507,0.750544423,0.841983876,0.899877596,0.80635357,0.660191784,0.913959752
0.682287126,0.858175231,0.835683933,0.794479899,0.964199763,0.851782929,0.906195755,0.92503781,0.808654593,0.818137389,0.820632992,0.80970485,0.839581022,0.682287126,0.964199763
0.779367088,0.901159284,0.827339052,0.802530676,0.840307201,0.878848355,0.935369852,0.911699248,0.835802971,0.784137258,0.85576283,0.897737226,0.854171753,0.779367088,0.935369852
0.697915978,0.796199828,0.790343423,0.855035177,0.963355948,0.868997034,0.8440523,0.949717611,0.89608311,0.867271467,0.915077159,0.855731129,0.858315014,0.697915978,0.963355948
